ID bloco	Classificação Spider	Id enunciado	Base/paráfrase	Consulta em inglês	Statement em SQL gerado pelo humano	Consulta em português no domínio de declaração de viagem internacional	Consulta em inglês no domínio de declaração de viagem internacional	Domínio/valor/genérica	Comentários	Statement em SQL gerado pelo humano no domínio de declaração de viagem internacional	Statement em SQL gerado pelo humano no domínio de declaração de viagem internacional (português)	Revisão do SQL (Sara)	Revisado_1	Classificação nível eventos/casos	Classificação projeção	Classificação filtro	Classificação geral	relevância	wh-question	Revisão_1-Thais	Ambiguo	Comentário
51	medium	367	paráfrase	List the cases that passed through to the activity 'Closed' between 2011 and 2012.		Liste os casos que passaram pela atividade 'fim da viagem' entre 2016 e 2017.	List the cases that went through the 'end trip' activity between 2016 and 2017.	Valor														
51	medium	368	paráfrase	List the cases in which the activity 'Closed' was executed between 2011 and 2012.		Liste os casos em que a atividade 'fim da viagem' foi executada entre 2016 e 2017.	List the cases in which the 'end trip' activity was performed between 2016 and 2017.	Valor														
51	medium	369	paráfrase	List the process instances that got to the activity 'Closed' between 2011 and 2012.		Liste as instâncias de processo que chegaram na atividade 'fim da viagem' entre 2016 e 2017.	List the process instances that arrived at the 'end trip' activity between 2016 and 2017.	Valor														
51	medium	370	paráfrase	List the process instances that passed through to the activity 'Closed' between 2011 and 2012.		Liste as instâncias de processo que passaram pela atividade 'fim da viagem' entre 2016 e 2017.	List the process instances that went through the 'end trip' activity between 2016 and 2017.	Valor														
51	medium	371	paráfrase	List the process instances in which the activity 'Closed' was executed between 2011 and 2012.		Liste as instâncias de processo em que a atividade 'fim da viagem' foi executada entre 2016 e 2017.	List the process instances where the 'end trip' activity was performed between 2016 and 2017.	Valor														
51	medium	372	paráfrase	 	 	Faça um relatório listando todas as declarações em que o fim da viagem foi registrado no período de 2016 e 2017.	Make a report listing all declarations in which the end of the trip was recorded in the period 2016 and 2017.	Domínio			 											
																						
52	medium	373	base	List all data of all events related to the execution of activities that have "assign" in their name.	 	Listar todos os dados de todos os eventos relacionados à execução de atividades que tenham a palavra 'rejeitada' em seu nome.	List all data on all events related to the performance of activities that have the word 'rejected' in their name.	Valor		SELECT * FROM events_log WHERE activity LIKE '%rejected%' 	SELECT * FROM events_log WHERE activity LIKE '%rejeitada%' 	ok	S	eventos	casos;atividade;timestamp;recurso;custo;dados	atividade	perspectiva simples	2	which	S	N	
52	medium	374	paráfrase	Show all information about events that involve the execution of an activity with "assign" in its name.		Apresente todas as informações sobre eventos que envolvam a execução de uma atividade com a palavra 'rejeitada' no nome.	Present all information about events involving the performance of an activity with the word 'rejected' in the name.	Valor			 											
52	medium	375	paráfrase	For all executions of an activity with "assign" in its name, show all information on the corresponding event.		Para todas as execuções de uma atividade com a palavra 'rejeitada' no nome, apresente todas as informações do evento correspondente.	For all performances of an activity with the word 'rejected' in the name, present all corresponding event information.	Valor														
52	medium	376	paráfrase	For all executions of an activity the name of which contains "assign", show all information on the associated event.		Para todas as execuções de uma atividade cujo nome contém a palavra 'rejeitada', apresente todas as informações do evento associado.	For all performances of an activity whose name contains the word 'rejected', display all associated event information.	Valor														
52	medium	377	paráfrase	For all executions of an activity whose name contains "assign", show all available information on the corresponding event.		Para todas as execuções de uma atividade cujo nome contém a palavra 'rejeitada', apresente todas as informações disponíveis do evento correspondente.	For all performances of an activity whose name contains the word 'rejected', present all available information for the corresponding event.	Valor														
52	medium	378	paráfrase	Show all available information on events associated with an activity containing "assign" in its name.		Apresente toda a informação disponível de eventos associados a uma atividade contendo a palavra 'rejeitada' em seu nome.	Present all available information on events associated with an activity containing the word 'rejected' in its name.	Valor														
52	medium	379	paráfrase	 	 	Informe os dados das intervenções que signifiquem uma rejeição de declaração.	Report data on interventions that result in a rejection of the declaration.	Domínio			 											
52	medium	380	paráfrase	List all assignment-related ("assign" in the name) activities in the log	SELECT * FROM log5_excerpt23 WHERE activity LIKE '%assign%' OR activity LIKE '%Assign%'	Faça um relatório de informações referentes a intervenções de rejeição nas declarações.	Make a report of information regarding rejection interventions in the declarations.	Domínio														
																						
53	medium	381	base	Which are the minimum and maximum costs registered for each case in which the maximum cost is informed?	 	Quais são os custos mínimos e máximos registrados para cada caso em que um custo máximo maior que zero é informado?	What are the minimum and maximum costs recorded for each case in which a maximum cost of more than zero is reported?	Genérica		SELECT idcase, MIN(cost), MAX(cost) FROM events_log GROUP BY idcase HAVING MAX(cost) > 0	SELECT idcase, MIN(cost), MAX(cost) FROM events_log GROUP BY idcase HAVING MAX(cost) > 0	ok	S	casos	custo;agregado	agregado	estatística descritiva sobre custo	3	what	S	N	
53	medium	382	paráfrase	Which are the minimum and maximum costs registered for each case in which the maximum cost is greater than zero?	 	Quais são os custos mínimos e máximos registrados para cada caso em que o custo máximo é maior que zero?	What are the minimum and maximum costs recorded for each case in which the maximum cost is more than zero?	Genérica														
53	medium	383	paráfrase	Which are the minimum and maximum costs registered for each case in which the maximum cost informed is higher than zero?		Quais são os custos mínimos e máximos registrados para cada caso em que o custo máximo informado é maior que zero?	What are the minimum and maximum costs recorded for each case in which the maximum cost reported is more than zero?	Genérica														
53	medium	384	paráfrase	Which are the minimum and maximum costs registered for each case in which the maximum cost informed is greater than zero?		Quais são os custos mínimos e máximos registrados para cada caso em que o custo máximo informado é superior a zero?	What are the minimum and maximum costs recorded for each case in which the maximum cost reported is greater than zero?	Genérica														
53	medium	385	paráfrase	List the minimum and maximum costs registered for each case in which the maximum cost is informed		Listar os custos mínimos e máximos registrados para cada caso que teve custo máximo maior que zero informado.	List the minimum and maximum costs recorded for each case that had a maximum cost of more than zero reported.	Genérica														
53	medium	386	paráfrase	List the minimum and maximum costs registered for each case in which the maximum cost informed is higher than zero		Listar os custos mínimos e máximos registrados para cada caso que teve custo máximo é maior que zero.	List the minimum and maximum costs recorded for each case that had a maximum cost of more than zero.	Genérica														
53	medium	387	paráfrase	List the minimum and maximum costs registered for each case in which the maximum cost informed is greater than zero?		Listar os custos mínimos e máximos registrados para cada caso que teve custo máximo é superior a zero.	List the minimum and maximum costs recorded for each case that had a maximum cost greater than zero.	Genérica														
53	medium	388	paráfrase	List the minimum and maximum costs registered for each case in which the maximum valid cost was informed		Listar os custos mínimos e máximos registrados para cada caso em que o custo máximo maior que zero foi preenchido.	List the minimum and maximum costs recorded for each case in which the maximum cost of more than zero was filled out.	Genérica														
53	medium	389	paráfrase	List the minimum and maximum costs registered for each case in which the maximum cost is informed		Listar os custos mínimos e máximos registrados para cada caso em que o custo máximo maior que zero é informado	List the minimum and maximum costs recorded for each case in which the maximum cost of more than zero is reported	Genérica														
53	medium	390	paráfrase	List the minimum and maximum costs registered for each case in which the maximum cost was informed		Quais são os custos mínimos e máximos registrados para cada caso em que o custo máximo maior que zero foi informado?	What are the minimum and maximum costs recorded for each case in which the maximum cost of more than zero was reported?	Genérica														
53	medium	391	paráfrase	Which are the minimum and maximum costs registered for each case in which the maximum cost informed was higher than zero?		Quais são os custos mínimos e máximos registrados para cada caso em que o custo máximo informado foi maior que zero?	What are the minimum and maximum costs recorded for each case in which the maximum cost reported was more than zero?	Genérica														
53	medium	392	paráfrase	Which are the minimum and maximum costs registered for each case in which the maximum cost informed was greater than zero?		Quais são os custos mínimos e máximos registrados para cada caso em que o custo máximo informado foi superior a zero?	What are the minimum and maximum costs recorded for each case in which the maximum cost reported was greater than zero?	Genérica														
53	medium	393	paráfrase			Quais são os valores mínimos e máximos de intervenções realizadas para cada uma das declarações em que o custo máximo informado foi superior a zero.	What are the minimum and maximum values of interventions carried out for each of the declarations in which the maximum cost reported was greater than zero?	Domínio			 											
53	medium	394	paráfrase	List the minimum and maximum costs recorded for each case that had a valid maximum cost filled in for reimbursement	SELECT idcase,MIN(costevent),MAX(costevent) FROM log8_excerpt37 GROUP BY idcase HAVING MAX(costevent) > 0	Listar os custos mínimos e máximos registrados para cada declaração que teve custo máximo maior que zero preenchido.	List the minimum and maximum costs recorded for each declaration that had a maximum cost more than zero filled out.	Domínio														Havia nesta consulta uma especificação de reembolso que acho que estava errada. Tirei e precisa corrigir no ingles.
																						
54	no_hardness	395	base	Show how long it took from the first event of a case until the event referring to the activity that indicates the end of the trip ('End trip') or until events related to activities that indicate rejection of declaration submission ('Declaration REJECTED by EMPLOYEE') or related to activities that indicate the payment being done ('Payment Handled').	nossa que consulta complexa - precisa analisar com calma e executá-la para ver se funciona mesmo.	Mostrar quanto tempo levou desde o primeiro evento de um caso até o evento referente à atividade que indica 'fim da viagem' ou até eventos relacionados a atividades que indicam 'declaração rejeitada pelo funcionário' ou relacionados a atividades que indicam 'pagamento efetuado'.	Show how long it took from the first event of a case to the event related to the activity indicating 'end trip' or to the event related to the activity indicating 'declaration rejected by employee' or the event related to the activity indicating 'payment handled'.	Valor		select strftime('%s', p.timestamp) - strftime('%s', e.start_time) , p.activity, p.idcase from events_log p inner join (select MIN(timestamp) as start_time, idcase FROM events_log GROUP by idcase) e on e.idcase = p.idcase where activity = 'Declaration rejected by employee' or activity = 'Payment handled' or activity = 'End trip'	select strftime('%s', p.timestamp) - strftime('%s', e.start_time) , p.activity, p.idcase from events_log p inner join (select MIN(timestamp) as start_time, idcase FROM events_log GROUP by idcase) e on e.idcase = p.idcase where activity = 'Declaração rejeitada pelo funcionário' or activity = 'Pagamento efetuado' or activity = 'Fim da viagem'	?	S	casos	agregado;atividade	atividade	conformidade;estatística descritiva temporal;perspectiva de fluxo de controle	4	how	S	S	Eu fiquei com dúvidas aqui porque tem tempo de duração 0 do início do caso até o "fim da viagem". Isso significaria que o primeiro evento da viagem é um fim de viagem? Acho que precisa olhar com mais cuidado.
54	no_hardness	396	paráfrase	Show how long it took from the first event of a case until the event referring to the activity 'End trip' or 'Declaration REJECTED by EMPLOYEE' or 'Payment Handled'		Mostrar quanto tempo levou desde o primeiro evento de um caso até o evento referente à atividade 'fim da viagem' ou 'declaração rejeitada pelo funcionário' ou 'pagamento efetuado'.	Show how long it took from the first event of a case to the event related to the 'end trip' or 'declaration rejected by employee' or 'payment handled' activity.	Valor														
54	no_hardness	397	paráfrase	Calculate, for each case, the time elapsed from the first event until the event of interest associated with the activity 'End trip' or 'Declaration REJECTED by EMPLOYEE' or 'Payment Handled', and retrieve the case, the event of interest's activity and the calculated time. 		Calcule, para cada caso, o tempo decorrido do primeiro evento até o evento de interesse associado à atividade 'fim da viagem' ou 'declaração rejeitada pelo funcionário' ou 'pagamento efetuado', e apresente o tempo calculado.	Calculate, for each case, the time elapsed from the first event to the event of interest associated with the 'end trip' or 'declaration rejected by employee' or 'payment handled' activity, and present the calculated time.	Valor														
54	no_hardness	398	paráfrase	 		Quanto tempo levou entre a primeira ação executada em uma declaração até uma indicação de finalização de uma da viagem, ou até aquelas ações que indicam que a declaração foi rejeitada por algum funcionário ou que um pagamento já foi efetuado.	How long did it take between the first action taken on a declaration until an indication of the finalization of a trip, or until those actions that indicate that the declaration was rejected by an employee or that a payment has already been made?	Domínio			 											
54	no_hardness	399	paráfrase	Show how long it took from the first event of a case to the event referring to the end of the trip ('End trip') and to possible final activities of rejection ('Declaration REJECTED by EMPLOYEE') or payment delivering ('Payment Handled')	SELECT FIM.enddatetime - INI.enddatetime AS elapsedtime FROM log8_excerpt37 INI, log8_excerpt37 FIM WHERE INI.idevent <> FIM.idevent AND INI.idcase = FIM.idcase AND FIM.activity IN ('Declaration REJECTED by EMPLOYEE', 'Payment Handled', 'End trip') AND INI.enddatetime = (SELECT MIN(enddatetime) FROM log8_excerpt37 WHERE idcase = INI.idcase)	Mostrar quanto tempo levou desde a primeira intervenção em uma declaração até a intervenção que indica o fim da viagem, ou até aquelas que indicam que a declaração foi rejeitada por algum funcionário ou que indicam que um pagamento já foi efetuado. 	Show how long it took from the first intervention on a declaration to the intervention that indicates the end of the trip, or to those that indicate that the declaration was rejected by an employee or that indicate that a payment has already been made.	Domínio			 											
																						
55	no_hardness	400	base	Show how long it took from the first event of a case to the event referring to the end of the trip ('End trip') and to possible final activities of rejection ('Declaration REJECTED by EMPLOYEE') or payment delivering ('Payment Handled'). Furthermore, list the case and the activity deemed final in this context.	SELECT INI.idcase, FIM.activity, FIM.enddatetime - INI.enddatetime AS elapsedtime FROM log8_excerpt37 INI, log8_excerpt37 FIM WHERE INI.idevent <> FIM.idevent AND INI.idcase = FIM.idcase AND FIM.activity IN ('Declaration REJECTED by EMPLOYEE', 'Payment Handled', 'End trip') AND INI.enddatetime = (SELECT MIN(enddatetime) FROM log8_excerpt37 WHERE idcase = INI.idcase)	Mostrar quanto tempo levou desde o primeiro evento de um caso até o evento referente ao 'fim da viagem' e até possíveis atividades 'declaração rejeitada pelo funcionário' ou de 'pagamento efetuado'. Ainda, informe o caso e a atividade tratada como final nesse contexto.	Show how long it took from the first event of a case to the event related to 'end trip' and to possible 'declaration rejected by employee' or 'payment handled' activities. Furthermore, report the case and the activity treated as final in this context.	Valor		select strftime('%s', p.timestamp) - strftime('%s', e.start_time) , p.activity, p.idcase, x.activity from events_log p inner join (select MIN(timestamp) as start_time, idcase FROM events_log GROUP by idcase) e on e.idcase = p.idcase inner join (select MAX(timestamp) as end_time, activity, idcase FROM events_log GROUP by idcase) x on e.idcase = x.idcase  where p.activity = 'Declaration rejected by employee' or p.activity = 'Payment handled' or p.activity = 'End trip'	select strftime('%s', p.timestamp) - strftime('%s', e.start_time) , p.activity, p.idcase, x.activity from events_log p inner join (select MIN(timestamp) as start_time, idcase FROM events_log GROUP by idcase) e on e.idcase = p.idcase inner join (select MAX(timestamp) as end_time, activity, idcase FROM events_log GROUP by idcase) x on e.idcase = x.idcase  where p.activity = 'Declaração rejeitada pelo funcionário' or p.activity = 'Pagamento efetuado' or p.activity = 'Fim da viagem'	?	S	casos	agregado;atividade	atividade	conformidade;estatística descritiva temporal;perspectiva de fluxo de controle	4	how	S	S	Nesse enunciado, o enunciado 'atividade tratada como final nesse contexto.' não consegui tratar com o SQL
55	no_hardness	401	paráfrase	Show how long it took from the first event of a case until the event referring to the activity that indicates the end of the trip ('End trip') or until events related to activities that indicate rejection of declaration submission ('Declaration REJECTED by EMPLOYEE') or related to activities that indicate the payment being done ('Payment Handled'). Alongside this duration, report the case and the activity considered as the interval's endpoint.	nossa que consulta complexa - precisa analisar com calma e executá-la para ver se funciona mesmo.	Mostrar quanto tempo levou desde o primeiro evento de um caso até o evento referente à atividade que indica fim da viagem ('fim da viagem') ou até eventos relacionados a atividades que indicam rejeição de entrega de declaração ('declaração rejeitada pelo funcionário') ou relacionados a atividades que indicam pagamento realizado ('pagamento efetuado'). Junto com esse tempo, informe o caso e a atividade considerada como final desse intervalo.	Show how long it took from the first event of a case to the event related to the activity that indicates the end of the trip ('end trip') or to events related to activities that indicate the rejection of declaration submission ('declaration rejected by employee') or related to activities that indicate payment made ('payment handled'). Along with this time, report the case and the activity considered to be the end of this interval.	Valor														Não entendi, porque você trouxe uma ultima atividade, que acredito ser do case. Não é isso mesmo? Em todo caso, tem que olhar novamente para esse SQL porque ele tem o mesmo problema do anterior.
55	no_hardness	402	paráfrase	Show how long it took from the first event of a case until the event referring to the activity 'End trip' or 'Declaration REJECTED by EMPLOYEE' or 'Payment Handled'. In addition to this duration, return the case and the activity considered as the interval's endpoint.		Mostrar quanto tempo levou desde o primeiro evento de um caso até o evento referente à atividade 'fim da viagem' ou 'declaração rejeitada pelo funcionário' ou 'pagamento efetuado'. Além desse tempo, devolva o caso e a atividade considerada como final desse intervalo.	Show how long it took from the first event of a case to the event related to the 'end trip' or 'declaration rejected by employee' or 'payment handled' activity. In addition to this time, return the case and activity considered at the end of this interval.	Valor														
55	no_hardness	403	paráfrase	Calculate, for each case, the time elapsed from the first event until the event of interest associated with the activity 'End trip' or 'Declaration REJECTED by EMPLOYEE' or 'Payment Handled', and retrieve the case, the event of interest's activity and the calculated time. 		Calcule, para cada caso, o tempo decorrido do primeiro evento até o evento de interesse associado à atividade 'fim da viagem' ou 'declaração rejeitada pelo funcionário' ou 'pagamento efetuado', e recupere o caso, a atividade do evento de interesse e o tempo calculado.	Calculate, for each case, the elapsed time from the first event to the event of interest associated with the 'end trip' or 'declaration rejected by employee' or 'payment handled' activity, and retrieve the case, the activity of the event of interest and the calculated time.	Valor														
55	no_hardness	404	paráfrase	 		 Quanto tempo leva entre o início de processamento de uma declaração até que o fim da viagem seja registrado ou até que ela seja rejeitada por um funcionário ou tenha o seu pagamento efetuado?	How long does it take from the start of processing a declaration until the end of the trip is recorded or until it is rejected by an employee or payment is made?	Domínio			 											
																						
56	easy	405	base	Retrieve event data associated with existing activities 'Closed' in the event log.	 	Recupere os dados dos eventos associados às atividades 'requisição de pagamento' existentes no log de eventos.	Retrieve event data associated with 'request payment' activities existing in the event log.	Valor		SELECT * FROM events_log WHERE activity = 'Request payment'	SELECT * FROM events_log WHERE activity = 'Requisição de pagamento'	ok	S	eventos	eventos;recurso;custo;timestamp;dados	atividade	perspectiva de fluxo de controle;perspectiva de dados;conformidade	1	which	S	N	
56	easy	406	paráfrase	Are there records of activity 'Closed' in the event log? If yes, show the event data associated with the records	 	Existem registros da atividade 'requisição de pagamento' no log de eventos? Se sim, mostre os dados dos eventos associados aos registros.	Are there records of 'request payment' activity in the event log? If yes, show the event data associated with the records.	Valor			 											
56	easy	407	paráfrase	Are there any records of activity 'Closed' in the event log? If yes, show event data.	SELECT * FROM log6 WHERE activity = 'Closed';	Existem declarações para as quais já foi feita uma requisição de pagamento? Se sim, traga os dados dessas requisições.	Are there declarations for which a payment request has already been made? If yes, supply the data from these requests.	Domínio			 											
56	easy	408	paráfrase	Are there any records of 'Closed' activity in the log? If yes, show event data.	SELECT * FROM log6_excerpt27 WHERE activity IN ('Closed')	Existem intervenções que façam a requisição de pagamento para declarações? Havendo, informe os dados da execução desta intervenção.	Are there interventions that request payment for declarations? If so, report details of the performance of this intervention.	Domínio			 											
																						
57	no_hardness	409	base	What is the average time duration of each type of activity?	SELECT ACTIVITY, AVG(DURATION) FROM (SELECT LOG1.ACTIVITY, LOG1.ENDDATETIME - LOG2.ENDDATETIME AS DURATION FROM PUBLIC.LOG8_EXCERPT40 LOG1 JOIN PUBLIC.LOG8_EXCERPT40 LOG2 ON LOG1.IDCASE = LOG2.IDCASE AND LOG1.IDEVENT = LOG2.IDEVENT + 1) AS ACTIVITY_DURATIONS GROUP BY ACTIVITY;	Qual o tempo de duração médio de cada tipo de atividade?	What is the mean duration time of each type of activity?	Genérica		WITH RankedEvents AS (SELECT id, activity, timestamp, LEAD(timestamp) OVER (PARTITION BY idcase ORDER BY timestamp) AS next_timestamp, idcase FROM events_log), DurationEvents AS (SELECT activity, (strftime('%s', next_timestamp) - strftime('%s', timestamp)) as duration FROM RankedEvents WHERE next_timestamp IS NOT NULL) SELECT activity, AVG(duration) AS average_duration FROM DurationEvents GROUP BY activity	WITH RankedEvents AS (SELECT id, activity, timestamp, LEAD(timestamp) OVER (PARTITION BY idcase ORDER BY timestamp) AS next_timestamp, idcase FROM events_log), DurationEvents AS (SELECT activity, (strftime('%s', next_timestamp) - strftime('%s', timestamp)) as duration FROM RankedEvents WHERE next_timestamp IS NOT NULL) SELECT activity, AVG(duration) AS average_duration FROM DurationEvents GROUP BY activity 	ok	S	eventos	agregado	nenhum	estatística descritiva temporal;perspectiva de fluxo de controle;conformidade		how	S	N	Quem respondeu essa foi o GPT4
57	no_hardness	410	paráfrase	What is the average time duration of each activity?	 	Qual o tempo de duração médio de cada atividade?	What is the average duration time of each activity?	Genérica														Aff! Eu acho que eu entendi e parece correta, mas precisaria fazer um teste numa tabela bem pequena para ter certeza. Não fiquei segura. E achei muito cheia de comandos fora dos que devem ser usados nos modelos padrão (aqueles do leader board), não?
57	no_hardness	411	paráfrase			Qual é o tempo de duração médio de cada atividade?	What is the mean duration time of each activity?	Genérica														
57	no_hardness	412	paráfrase	On average, how long does an activity last?	 	Quanto dura, em média, cada atividade?	How long, on average, does each activity last?	Genérica														
57	no_hardness	413	paráfrase	What is the average duration of each activity?		Qual a duração média de cada atividade?	What is each activity's mean duration?	Genérica														
57	no_hardness	414	paráfrase			Qual é a duração média de cada atividade?	What is the mean duration of each activity?	Genérica														
57	no_hardness	415	paráfrase	On average, what is the average duration of each activity?		Qual é, em média, a duração de cada atividade?	What is, on average, the duration of each activity?	Genérica														
57	no_hardness	416	paráfrase	What is the average of the duration of each activity?		Qual a média de duração de cada atividade?	What is each activity's average duration?	Genérica														
57	no_hardness	417	paráfrase			Qual é a média de duração de cada atividade?	What is the average duration of each activity?	Genérica														
57	no_hardness	418	paráfrase	How long does each type of activity last on average?		Quanto dura cada tipo de atividade em média?	How long does each type of activity last on average?	Genérica														
57	no_hardness	419	paráfrase	How long does each activity last on average?		Quanto dura cada atividade em média?	How long does each activity last on average?	Genérica														
57	no_hardness	420	paráfrase	Inform the average time duration of each type of activity		Informe o tempo de duração médio de cada tipo de atividade	Report the mean duration time of each type of activity	Genérica														
57	no_hardness	421	paráfrase	Inform what is the average time duration of each activity		Informe qual é o tempo de duração médio de cada atividade	Report what the mean duration time of each activity is.	Genérica														
57	no_hardness	422	paráfrase			Informe qual o tempo de duração médio de cada atividade	Report what each activity's mean duration time is.	Genérica														
57	no_hardness	423	paráfrase	Inform the average time duration of each activity		Informe o tempo de duração médio de cada atividade	Report the mean duration time of each activity.	Genérica														
57	no_hardness	424	paráfrase	Inform how long, on average, an activity lasts		Informe quanto dura, em média, cada atividade	Report how long, on average, each activity lasts.	Genérica														
57	no_hardness	425	paráfrase	Inform the average duration of each type of activity		Informe a duração média de cada tipo de atividade	Report the mean duration of each type of activity.	Genérica														
57	no_hardness	426	paráfrase	Inform what is the average duration of each activity		Informe qual é a duração média de cada atividade	Report what the mean duration of each activity is.	Genérica														
57	no_hardness	427	paráfrase			Informe qual a duração média de cada atividade	Report what each activity's mean duration is.	Genérica														
57	no_hardness	428	paráfrase	Inform the average duration of each activity		Informe a duração média de cada atividade	Report the mean duration of each activity.	Genérica														
57	no_hardness	429	paráfrase	Inform what is, on average, the duration of each activity		Informe qual é, em média, a duração de cada atividade	Report what is, on average, the duration of each activity.	Genérica														
57	no_hardness	430	paráfrase	Inform what is the average of the duration of each activity		Informe qual é a média de duração de cada atividade	Report what the average duration of each activity is.	Genérica														
57	no_hardness	431	paráfrase			Informe qual a média de duração de cada atividade	Report what each activity's average duration is.	Genérica														
57	no_hardness	432	paráfrase	Inform the average of the duration of each type activity		Informe a média de duração de cada atividade	Report the average duration of each activity.	Genérica														
57	no_hardness	433	paráfrase	Inform how long does an activity last on average		Informe quanto dura cada atividade em média	Report how long each activity lasts on average.	Genérica														
57	no_hardness	434	paráfrase			Quanto dura, em média, cada tipo de intervenção feitas durante o processamento das declarações?	How long, on average, does each type of intervention carried out during the processing of declarations last?	Domínio			 											
																						
58	hard	435	base	What is the case with the highest cost?	SELECT DISTINCT IDCASE, COSTEVENT FROM PUBLIC.LOG8_EXCERPT40 WHERE COSTEVENT = (SELECT MAX(COSTEVENT) FROM PUBLIC.LOG8_EXCERPT40);	Quais os casos com maior custo?	Which are the cases with the highest cost?	Genérica		SELECT idcase FROM events_log GROUP BY idcase HAVING SUM(cost) = (SELECT SUM(cost) FROM events_log  GROUP BY idcase ORDER BY SUM(cost) DESC LIMIT 1) 	SELECT idcase FROM events_log GROUP BY idcase HAVING SUM(cost) = (SELECT SUM(cost) FROM events_log  GROUP BY idcase ORDER BY SUM(cost) DESC LIMIT 1) 	ok	S	casos	casos	nenhum	estatística descritiva sobre custo	3	which	S	N	Precisa ser no plural também, pois podem haver mais de um caso com maior custo
58	hard	436	paráfrase	What is the case that has the highest cost?	Essa consulta não resolve a requisição de case de mais alto custo, porque tem que SOMAR o custo de todos os eventos.	Quais são os casos que possuem o mais alto custo?	Which cases have the highest cost?	Genérica														
58	hard	437	paráfrase	Which case has the maximum cost?		Quais casos têm o custo máximo já registrado no log de eventos?	Which cases have the maximum cost already recorded in the event log?	Genérica														
58	hard	438	paráfrase	Show the case whose cost is the highest.		Apresente os casos cujos custos são iguais ao custo mais alto.	Present cases whose costs are equal to the highest cost.	Genérica														
58	hard	439	paráfrase	Show the case the cost of which is the maximum.		Apresente os casos cujos custos são iguais ao custo máximo já registrado no log de eventos.	Present cases whose costs are equal to the maximum cost already recorded in the event log.	Genérica			 											
58	hard	440	paráfrase	Show the case of highest cost.		Apresente os casos de maior custo.	Present the highest cost cases.	Genérica														
58	hard	441	paráfrase		Fazer outra consulta. Para esta criei outra requisição (nova consulta - abaixo)	Quais são as declarações que representam o maior custo para a universidade?	Which declarations represent the highest cost to the university?	Domínio			 											
																						
59	hard	442	base	What is the event with the highest cost?	 	Quais são os eventos com o maior custo?	What are the events with the highest cost?	Genérica		SELECT * FROM events_log WHERE cost = (SELECT MAX(cost) FROM events_log)	SELECT * FROM events_log WHERE cost = (SELECT MAX(cost) FROM events_log)	ok	S	eventos	eventos	nenhum	estatística descritiva sobre custo	2	which	S	N	Precisa ser no plural também, pois podem haver mais de um evento com maior custo
59	hard	443	paráfrase	What is the event that has the highest cost?		Quais são os eventos que possuem o mais alto custo?	Which events have the highest cost?	Genérica														
59	hard	444	paráfrase	Which event has the maximum cost?		Quais eventos têm o custo máximo?	Which events have the maximum cost?	Genérica														
59	hard	445	paráfrase	Which event has the maximum cost value?		Quais eventos têm o valor máximo de custo?	Which events have the maximum cost amount?	Genérica														
59	hard	446	paráfrase	Show the event whose cost is the highest.		Apresente os eventos cujos custos são iguais ao mais alto custo.	Present the events whose costs are equal to the highest cost.	Genérica														
59	hard	447	paráfrase	Show the event the cost of which is the maximum.		Apresente os eventos cujos custos são máximos.	Present the events whose costs are maximum.	Genérica														
59	hard	448	paráfrase	Show the event of highest cost.		Apresente os eventos de maior custo.	Present the highest-cost events.	Genérica														
59	hard	449	paráfrase	Show the event whose cost value is the highest.		Apresente os eventos cujo valor de custo é o mais alto.	Present the events whose cost amounts are the highest.	Genérica														
59	hard	450	paráfrase	Show the event the cost value of which is the maximum.		Apresente os eventos cujos valores de custo são iguais ao máximo custo.	Present the events whose cost amounts are equal to the maximum cost.	Genérica														
59	hard	451	paráfrase	Show the event of highest cost value.		Apresente os eventos de maior valor de custo.	Present the events with the highest cost amount.	Genérica														
59	hard	452	paráfrase	Inform the event whose cost is the highest.		Informe os eventos cujo custo é o mais alto.	Report the events whose costs are the highest.	Genérica														
59	hard	453	paráfrase	Inform the event the cost of which is the maximum.		Informe os eventos cujos custos são iguais ao máximo custo.	Report the events whose costs are equal to the maximum cost.	Genérica														
59	hard	454	paráfrase	Inform the event of highest cost.		Informe os eventos de maior custo.	Report the highest cost events.	Genérica														
59	hard	455	paráfrase	Inform the event whose cost value is the highest.		Informe os eventos cujo valor de custo é o mais alto.	Report the events whose cost amounts are the highest.	Genérica														
59	hard	456	paráfrase	Inform the event the cost value of which is the maximum.		Informe os eventos cujo valor de custo é o máximo.	Report the events whose cost amounts are the maximum.	Genérica														
59	hard	457	paráfrase	Inform the event of highest cost value.		Informe os eventos de maior valor de custo.	Report the events with the highest-cost amount.	Genérica														
59	hard	458	paráfrase	 	 	Quais intervenções possuem seus custos iguais ao maior custo já registrado?	Which interventions have their costs equal to the highest cost already recorded?	Domínio			 											
																						
60	easy	459	base	List the events, along with their attributes, referrring to the activity "Start trip"	 	Liste os eventos, com seus atributos, que se referem à atividade 'início da viagem'.	List the events, with their attributes, that refer to the 'start trip' activity.	Valor		select * from events_log where activity = 'Start trip'	select * from events_log where activity = 'Início da viagem'	ok	S	eventos	eventos;atividade;recurso;custo;timestamp;dados	atividade	perspectiva de fluxo de controle	2	what	S	N	
60	easy	460	paráfrase	List the events, along with their respective attributes, referrring to the activity "Start trip"		Liste os eventos, com seus respectivos atributos, que referem à atividade 'início da viagem'.	List the events, with their respective attributes, that refer to the 'start trip' activity.	Valor														
